"","x","method","percentage"
"user.child5...679",0,"all_together","60"
"sys.child5...680",0,"all_together","60"
"user.self6...681",301.168,"all_together","60"
"sys.self6...682",29.812,"all_together","60"
"elapsed6...683",354.415,"all_together","60"
"user.child6...684",0,"all_together","60"
"sys.child6...685",0,"all_together","60"
"user.self7...686",290.889,"all_together","60"
"sys.self7...687",30.575,"all_together","60"
"elapsed7...688",344.232,"all_together","60"
"user.child7...689",0,"all_together","60"
"sys.child7...690",0,"all_together","60"
"user.self8...691",271.434,"all_together","60"
"sys.self8...692",32.028,"all_together","60"
"elapsed8...693",326.308,"all_together","60"
"user.child8...694",0,"all_together","60"
"sys.child8...695",0,"all_together","60"
"user.self9...696",152.504,"all_together","60"
"sys.self9...697",10.936,"all_together","60"
"elapsed9...698",169.317,"all_together","60"
"user.child9...699",0,"all_together","60"
"sys.child9...700",0,"all_together","60"
