"","x","method","percentage"
"sys.child4...675",0,"all_together","60"
"user.self5...676",61.4970000000001,"all_together","60"
"sys.self5...677",5.14600000000002,"all_together","60"
"elapsed5...678",68.4279999999999,"all_together","60"
"user.child5...679",0,"all_together","60"
"sys.child5...680",0,"all_together","60"
"user.self6...681",106.71,"all_together","60"
"sys.self6...682",22.121,"all_together","60"
"elapsed6...683",152.017,"all_together","60"
"user.child6...684",0,"all_together","60"
"sys.child6...685",0,"all_together","60"
"user.self7...686",102.997,"all_together","60"
"sys.self7...687",21.358,"all_together","60"
"elapsed7...688",147.253,"all_together","60"
"user.child7...689",0,"all_together","60"
"sys.child7...690",0,"all_together","60"
"user.self8...691",95.663,"all_together","60"
"sys.self8...692",18.184,"all_together","60"
"elapsed8...693",135.434,"all_together","60"
"user.child8...694",0,"all_together","60"
"sys.child8...695",0,"all_together","60"
"user.self9...696",56.9840000000002,"all_together","60"
"sys.self9...697",4.81400000000002,"all_together","60"
"elapsed9...698",63.0819999999999,"all_together","60"
"user.child9...699",0,"all_together","60"
"sys.child9...700",0,"all_together","60"
